Pond,Link,centriod,geometry,Area(sqm),Water_status
1,"https://www.google.com/maps?q=15.909771601652196,80.5101859752401","(15.909771601652196, 80.5101859752401)","POLYGON ((447611.9655142812 1759017.196418029, 447611.96551428013 1759017.0653494752, 447564.40532024635 1758998.035341495, 447538.05858803645 1758998.0345738337, 447538.0871261825 1759001.6010144583, 447529.0390785599 1759006.3154736531, 447537.14570256305 1759022.5114447884, 447565.5036095786 1759031.9646501723, 447611.9655142802 1759031.9654618697, 447611.9655142813 1759031.9654268685, 447611.96551428194 1759031.5668540238, 447611.9655142812 1759017.196418029))",0.0,0
2,"https://www.google.com/maps?q=15.907378527304822,80.51165072296921","(15.907378527304822, 80.51165072296921)","POLYGON ((447658.0344857197 1758728.0345231448, 447658.03448571963 1758752.0255777945, 447658.0344857189 1758752.436964839, 447658.03448571934 1758752.7335176128, 447660.6973163354 1758753.5324854772, 447745.50623580004 1758781.9646502174, 447791.9655142809 1758781.9654618697, 447791.96551428025 1758781.96544875, 447791.96551428095 1758781.965426869, 447791.96551428054 1758781.5060843548, 447791.9655142805 1758747.872693277, 447791.96551428066 1758747.297259305, 447791.96551428037 1758747.196590746, 447734.3161653669 1758727.9752892382, 447658.03448571905 1758718.4331391805, 447658.0344857197 1758728.0345231448))",600.0,1
3,"https://www.google.com/maps?q=15.908063332126533,80.5111462520874","(15.908063332126533, 80.5111462520874)","POLYGON ((447651.65170563594 1758825.0912695115, 447651.57863887225 1758825.3487730105, 447638.6251030581 1758864.2925730029, 447646.2651945589 1758871.9647698144, 447648.0344857198 1758871.964803849, 447648.0344857192 1758871.9655142806, 447681.96549905825 1758871.9655142806, 447681.9654990568 1758871.9654565696, 447682.21653998416 1758871.965461399, 447683.21286747954 1758860.5780797887, 447690.7069718472 1758836.926110655, 447701.9647458396 1758823.8665836416, 447701.96474583924 1758821.9654565547, 447701.96543729765 1758821.9654565682, 447701.96526502364 1758815.2518274745, 447711.37895469303 1758804.519701941, 447703.12792423496 1758788.0352256477, 447657.68256155704 1758788.03452646, 447657.6824705219 1758788.03525416, 447656.2614844292 1758788.03525416, 447648.19512819604 1758796.1016103923, 447651.7085168571 1758824.0274319393, 447651.7300483158 1758824.294233738, 447651.7277128963 1758824.5618927556, 447651.7015291879 1758824.8282782233, 447651.65170563594 1758825.0912695115))",1200.0,1
4,"https://www.google.com/maps?q=15.905244140458427,80.6585489495667","(15.905244140458427, 80.6585489495667)","POLYGON ((463428.03463379317 1758501.1219616293, 463438.33751338534 1758498.542963071, 463444.3102848477 1758501.6440171222, 463463.21652971266 1758492.4871564535, 463471.9647937096 1758483.7385064666, 463471.9653986996 1758468.0346013003, 463471.9653986996 1758468.0346013003, 463471.9653987006 1758468.0345627037, 463446.2615163155 1758468.035222274, 463428.0352062888 1758486.2615323004, 463428.03463379317 1758501.1219616293))",400.0,1
5,"https://www.google.com/maps?q=15.900348391788192,80.64620910177594","(15.900348391788192, 80.64620910177594)","POLYGON ((462114.2724558012 1757961.9646623759, 462114.4054675028 1757961.9646585006, 462163.29523907456 1757942.408022337, 462171.9647937111 1757933.7384676991, 462171.9648177369 1757933.114880193, 462171.9653765069 1757933.1146007716, 462171.96549141896 1757918.0346169514, 462171.96539869875 1757918.0346169553, 462155.72498666856 1757918.0353273551, 462097.25500077225 1757947.2702064496, 462097.25500077225 1757947.27020645, 462096.7971993645 1757947.4991062614, 462078.0351581615 1757966.2615610594, 462078.03471750714 1757971.965383039, 462094.27493178647 1757971.9646726479, 462114.2724558012 1757961.9646623759))",1800.0,1
6,"https://www.google.com/maps?q=15.90445978135225,80.65857655315561","(15.90445978135225, 80.65857655315561)","POLYGON ((463456.37611958367 1758357.9206190053, 463408.0392215997 1758406.2575169888, 463408.04488210083 1758408.031608484, 463406.26298204396 1758408.0337565455, 463398.0352584812 1758416.261480108, 463398.03535587253 1758444.2747513903, 463406.88508846454 1758461.9653765054, 463422.71177713946 1758461.9654971063, 463423.0859939833 1758460.6748095609, 463423.50063724845 1758460.8817246263, 463432.11288364744 1758441.5506081623, 463432.24501394934 1758441.2891700594, 463432.40201166016 1758441.0418645474, 463432.5823799269 1758440.8110494993, 463432.7843990706 1758440.5989255647, 463433.00614299165 1758440.4075151882, 463433.24549752066 1758440.238643324, 463433.50018059707 1758440.0939200402, 463433.76776400453 1758439.9747251659, 463452.6692653507 1758432.6387001108, 463461.7100867947 1758410.2278442504, 463461.8348648668 1758409.957929887, 463461.98575106845 1758409.7016942827, 463462.16126297053 1758409.4616549048, 463462.3596762001 1758409.2401700935, 463462.57904138404 1758409.0394158997, 463462.81720330287 1758408.861364693, 463463.03516714944 1758408.7298778847, 463466.26331270946 1758411.9647458394, 463473.7385155721 1758411.9647458394, 463474.0725772281 1758411.9647458398, 463501.9653293346 1758393.3633741287, 463501.9648009002 1758367.6934916363, 463501.96507543104 1758355.1252546215, 463511.96538982895 1758360.1156062651, 463511.9647777264 1758336.2615163152, 463503.73841957183 1758328.0351581604, 463498.050550803 1758328.0347187377, 463498.10395464825 1758338.0347772469, 463496.3007927304 1758338.034853858, 463485.22546250455 1758349.5222010943, 463483.7385155709 1758348.0352541604, 463475.9274227725 1758348.0352541604, 463461.88259278965 1758357.4015978675, 463456.37611958367 1758357.9206190053))",0.0,0
7,"https://www.google.com/maps?q=15.902244192232805,80.67702260007829","(15.902244192232805, 80.67702260007829)","POLYGON ((465425.8298613159 1758171.5313080072, 465451.96531788696 1758162.8072999115, 465451.96530055656 1758161.965468121, 465451.96551428136 1758161.9654681245, 465451.96551428264 1758138.0344857196, 465451.9648079184 1758138.034485719, 465451.9647714203 1758136.261510009, 465443.99539209437 1758128.2921306833, 465398.07396596286 1758137.485515717, 465398.0827230749 1758138.034485719, 465398.05858733115 1758138.0344857192, 465398.0585877054 1758138.034532246, 465398.1851469496 1758153.850768105, 465406.26518977963 1758161.9647650141, 465416.27669572213 1758161.9649190437, 465425.8298613159 1758171.5313080072))",1700.0,1
8,"https://www.google.com/maps?q=15.902551021789632,80.6782420226771","(15.902551021789632, 80.6782420226771)","POLYGON ((465573.16146220063 1758231.9647925326, 465581.5449916974 1758215.875020412, 465568.8937102451 1758195.7187373084, 465568.7400522527 1758195.4426223135, 465568.61628955393 1758195.1518766105, 465568.52379523317 1758194.8497258704, 465568.46359546436 1758194.5395222967, 465568.43635813263 1758194.2247074347, 465568.4423854217 1758193.9087739908, 465571.8741829016 1758146.1709214894, 465561.9655142811 1758136.2622528693, 465561.96551428 1758128.0344857194, 465538.03457313083 1758128.0344857194, 465538.0353373194 1758154.2619697424, 465547.50907232845 1758172.8254321443, 465547.62497342704 1758173.0815036963, 465547.7163999917 1758173.3472985167, 465547.7825494495 1758173.62048335, 465547.82284110924 1758173.8986600675, 465547.836921275 1758174.179386718, 465548.02475031425 1758231.9655142808, 465548.0344857195 1758231.965514281, 465548.0344857191 1758241.9655142806, 465561.96549121506 1758241.9655142808, 465561.9654143298 1758231.9655142804, 465561.9655142811 1758231.9655142808, 465561.96551428 1758231.9650798242, 465573.16146220063 1758231.9647925326))",1600.0,1
9,"https://www.google.com/maps?q=15.902728117273522,80.67938335113949","(15.902728117273522, 80.67938335113949)","POLYGON ((465693.58856350125 1758231.805381753, 465701.96551428124 1758231.9230707812, 465701.96551428066 1758168.0344857192, 465701.56680388976 1758168.034485719, 465658.07378564065 1758168.0344857196, 465658.0419427875 1758168.034485719, 465658.0329916736 1758168.0344857192, 465658.00147393194 1758231.3054134378, 465658.036155351 1758231.305900682, 465658.0356078793 1758232.6273272687, 465692.4091049057 1758241.23291562, 465692.4100556104 1758241.2253165469, 465693.58856350125 1758231.805381753))",2800.0,1
10,"https://www.google.com/maps?q=15.902785032023502,80.6800710329657","(15.902785032023502, 80.6800710329657)","POLYGON ((465763.73701795615 1758251.9662434547, 465772.1156925944 1758243.5875688172, 465780.13351513236 1758179.492672442, 465781.48951712664 1758175.7862557145, 465780.6963780437 1758174.9931166323, 465781.5668458457 1758168.0345510996, 465758.35635076126 1758168.034997591, 465736.8850670868 1758168.0346662279, 465728.15506656026 1758185.4859468113, 465732.68597633694 1758212.6505735687, 465728.49400104786 1758241.9654879184, 465728.49678628787 1758241.9654878972, 465728.2261422565 1758243.8589761264, 465736.92010644986 1758251.998570945, 465763.73701795615 1758251.9662434547))",3400.0,1
