Pond,Link,centriod,polygon
1,"https://www.google.com/maps?q=15.909771601652196,80.5101859752401","(15.909771601652196, 80.5101859752401)","POLYGON ((80.51057773651961 15.909780686223659, 80.51057773938679 15.909779501343476, 80.51013384839547 15.909606459867447, 80.50988771728295 15.909605894561919, 80.50988790575943 15.909638136343945, 80.50980327560855 15.90968056396638, 80.50987865290233 15.909827149922227, 80.51014336573486 15.909913209364419, 80.51057741343774 15.909914200684431, 80.51057741343851 15.909914200368014, 80.51057742215758 15.909910597207329, 80.51057773651961 15.909780686223659))"
2,"https://www.google.com/maps?q=15.907378527304822,80.51165072296921","(15.907378527304822, 80.51165072296921)","POLYGON ((80.51101443261217 15.90716759186435, 80.51101390835058 15.907384474807515, 80.51101389936072 15.907388193811668, 80.51101389288029 15.907390874695807, 80.5110387513123 15.907398153800823, 80.51183040734057 15.907656976997883, 80.51226442577776 15.907657964736625, 80.51226442577804 15.907657964618016, 80.51226442577853 15.907657964420213, 80.51226443579084 15.907653811890327, 80.51226516889164 15.90734976064436, 80.51226518143413 15.907344558628953, 80.51226518362836 15.90734364856903, 80.51172704878861 15.907168668289296, 80.51101464242296 15.907080793827651, 80.51101443261217 15.90716759186435))"
3,"https://www.google.com/maps?q=15.908063332126533,80.5111462520874","(15.908063332126533, 80.5111462520874)","POLYGON ((80.51095268417207 15.908044865245609, 80.51095199595959 15.908047191572553, 80.5108301335784 15.908398975662731, 80.51090133917668 15.90846849515328, 80.51091786780034 15.908468532886127, 80.51091786778481 15.908468539308538, 80.51123484952446 15.90846925679413, 80.5112348495257 15.908469256272413, 80.51123719473678 15.908469261622697, 80.5112467511179 15.908366338952852, 80.5113172771782 15.908152679804772, 80.51142273170902 15.908034857511653, 80.51142277322052 15.908017671021081, 80.51142277968007 15.908017671035815, 80.51142292466375 15.907956978759502, 80.5115111009335 15.907860157530378, 80.51143438039664 15.9077109609214, 80.51100983380962 15.907709993970279, 80.51100983294327 15.907710000546874, 80.51099655821598 15.907709970496423, 80.51092102671684 15.907782721033723, 80.51095323814984 15.908035249187378, 80.51095343346388 15.908037661573209, 80.51095340579656 15.908040081203636, 80.51095315536809 15.908042488816573, 80.51095268417207 15.908044865245609))"
4,"https://www.google.com/maps?q=15.905244140458427,80.6585489495667","(15.905244140458427, 80.6585489495667)","POLYGON ((80.65834103059447 15.905399474343147, 80.65843731925821 15.905376311535539, 80.65849306944628 15.905404434295143, 80.65866983088844 15.90532193237028, 80.65875169037429 15.905242970788482, 80.65875193548037 15.905101002306209, 80.65875193548037 15.905101002306209, 80.65875193548096 15.90510100195729, 80.65851181064652 15.905100628508759, 80.65834126281071 15.905265131168424, 80.65834103059447 15.905399474343147))"
5,"https://www.google.com/maps?q=15.900348391788192,80.64620910177594","(15.900348391788192, 80.64620910177594)","POLYGON ((80.64607642365647 15.900505562079159, 80.6460776662176 15.900505564079124, 80.64653469066627 15.900329513280287, 80.6466158161982 15.900251270158895, 80.6466158262661 15.900245632726888, 80.6466158314904 15.900245630209366, 80.64661607060316 15.900109302288167, 80.646616069737 15.900109302286786, 80.64646435626808 15.900109060571305, 80.64591768339123 15.900372459049974, 80.64591768339123 15.900372459049978, 80.64591340311082 15.900374521370756, 80.64573783616274 15.900543852749978, 80.64573774178469 15.900595417128878, 80.64588945375891 15.900595659358904, 80.64607642365647 15.900505562079159))"
6,"https://www.google.com/maps?q=15.90445978135225,80.65857655315561","(15.90445978135225, 80.65857655315561)","POLYGON ((80.65860798062107 15.904105305408649, 80.65815568285345 15.904541572971482, 80.6581557086359 15.904557611428334, 80.65813906219687 15.904557604508701, 80.65806207357876 15.904631864213519, 80.65806164648828 15.904885113434183, 80.65814405008204 15.905045173353273, 80.65829190243862 15.905045408341447, 80.65829541806563 15.905033745629227, 80.65829928848876 15.905035622336175, 80.65838003886235 15.904860989892105, 80.65838127720846 15.904858628357067, 80.65838274764906 15.904856394952633, 80.6583844361646 15.904854310972642, 80.65838632665633 15.904852396286289, 80.65838840109983 15.90485066914868, 80.6583906397168 15.904849146026779, 80.65839302116373 15.904847841442413, 80.65839552273529 15.90484676783383, 80.65857221163175 15.90478072686157, 80.6586570123611 15.904578258767408, 80.65865818214738 15.904575820493902, 80.65865959562566 15.904573506266235, 80.65866123890878 15.904571338821258, 80.65866309585176 15.90456933945369, 80.6586651482105 15.90456752780697, 80.65866737582095 15.90456592168016, 80.658669414032 15.904564736212802, 80.65869952185086 15.904594028130614, 80.65876935477615 15.904594138434426, 80.65877247556139 15.9045941433633, 80.65903333147868 15.904426392183405, 80.65903371761289 15.90419432793137, 80.65903391164746 15.904080706906115, 80.65912725778512 15.904125968749922, 80.6591276153677 15.903910319855017, 80.65905089076415 15.903835829591529, 80.6589977552178 15.903835741764206, 80.65899810175314 15.903926146397598, 80.65898125676978 15.903926120503783, 80.6588776169149 15.90402980660393, 80.65886374864263 15.90401634217897, 80.6587907780601 15.904016226954203, 80.65865942957534 15.904100694560528, 80.65860798062107 15.904105305408649))"
7,"https://www.google.com/maps?q=15.902244192232805,80.67702260007829","(15.902244192232805, 80.67702260007829)","POLYGON ((80.6770091705549 15.902448568791593, 80.67725345017979 15.902370065523963, 80.677253462156 15.902362455069904, 80.67725346415259 15.902362455072916, 80.67725380920326 15.90214611061982, 80.67725380260453 15.902146110609962, 80.67725382782713 15.902130082288595, 80.67717949403199 15.902057925100454, 80.67675037046914 15.902140395197266, 80.6767504443491 15.902145358200327, 80.67675021887665 15.902145357863029, 80.67675021887946 15.902145358283654, 80.67675117277471 15.902288344351097, 80.676826538212 15.90236181062344, 80.6769200642769 15.902361951874234, 80.6770091705549 15.902448568791593))"
8,"https://www.google.com/maps?q=15.902551021789632,80.6782420226771","(15.902551021789632, 80.6782420226771)","POLYGON ((80.67838465382454 15.902996961620431, 80.67846320295715 15.9028516210016, 80.67834530582985 15.902669225236302, 80.67834387434415 15.902666726923146, 80.6783427223468 15.90266409675899, 80.67834186261858 15.902661363924127, 80.67834130469771 15.902658558737933, 80.67834105477402 15.902655712322467, 80.67834111562027 15.902652856257223, 80.6783738609677 15.902221337051383, 80.67828143805647 15.902131621413275, 80.67828155631008 15.902057239511146, 80.67805799716358 15.902056906549232, 80.67805762708377 15.902294012211572, 80.67814586243146 15.902461964260956, 80.67814694148171 15.902464280850266, 80.67814779175443 15.902466685000778, 80.67814840578559 15.902469155607863, 80.67814877818496 15.90247167098352, 80.67814890568346 15.902474209046748, 80.67814982945141 15.902996618492764, 80.67814992039848 15.902996618628233, 80.67814977660561 15.903087022128114, 80.67827991856475 15.903087215941504, 80.67828006158123 15.902996812439397, 80.67828006251497 15.902996812440788, 80.67828006252121 15.902996808513146, 80.67838465382454 15.902996961620431))"
9,"https://www.google.com/maps?q=15.902728117273522,80.67938335113949","(15.902728117273522, 80.67938335113949)","POLYGON ((80.67950967275534 15.902997192096139, 80.67958792762184 15.902998372105824, 80.679588842168 15.902420796837145, 80.67958511747005 15.902420791314011, 80.67917881165033 15.902420188442012, 80.67917851417876 15.902420188000344, 80.67917843055868 15.90242018787619, 80.67917722925897 15.902992178845299, 80.67917755324196 15.90299218373121, 80.6791775291871 15.9030041298837, 80.67949851939002 15.903082403969911, 80.67949852838021 15.903082335284791, 80.67950967275534 15.902997192096139))"
10,"https://www.google.com/maps?q=15.902785032023502,80.6800710329657","(15.902785032023502, 80.6800710329657)","POLYGON ((80.6801647038231 15.903180424382933, 80.68024309625093 15.903104794064323, 80.6803189133262 15.902525464464034, 80.68033163385135 15.902491975891628, 80.68032423577867 15.90248479467324, 80.6803324669498 15.902421898818789, 80.68011563765799 15.902421581971378, 80.67991505585792 15.902421281942658, 80.67983325176897 15.902578926837094, 80.67987519043758 15.902824567332258, 80.67983561018143 15.903089526441834, 80.67983563620085 15.903089526480198, 80.67983308078819 15.90310664053288, 80.67991418248957 15.903180345661202, 80.6801647038231 15.903180424382933))"
11,"https://www.google.com/maps?q=15.906307039206078,80.6910266483313","(15.906307039206078, 80.6910266483313)","POLYGON ((80.69109052117341 15.905963300949107, 80.69092725010033 15.90596306742833, 80.6908502865834 15.906037325665077, 80.69085027362618 15.906045742410818, 80.69085026804291 15.90604574420545, 80.69084937189919 15.906631312809626, 80.691089500342 15.90663165035073, 80.69125762006851 15.906469440083747, 80.691256885234 15.906465859780544, 80.6911694641183 15.906039920673864, 80.69109456014624 15.9059672210607, 80.69109456014624 15.9059672210607, 80.69109052117341 15.905963300949107))"
